memberId,benefitId
1,B1
2,B1
3,B1
4,B1
5,B1
6,B1
7,B1
8,B1
9,B1
10,B1
11,B1
12,B1
13,B1
14,B1
15,B1
16,B1
17,B1
18,B1
19,B1
20,B1
21,B1
22,B1
23,B1
24,B1
25,B1
26,B1
27,B1
28,B1
29,B1
30,B1
31,B1
32,B1
33,B1
34,B1
35,B1
36,B1
37,B1
38,B1
39,B1
40,B1
41,B1
42,B1
43,B1
44,B1
45,B1
46,B1
47,B1
48,B1
49,B1
50,B1
1,B2
3,B2
5,B2
7,B2
9,B2
11,B2
13,B2
15,B2
17,B2
19,B2
21,B2
23,B2
2,B3
4,B3
6,B3
8,B3
10,B3
12,B3
14,B3
16,B3
18,B3
20,B3
5,B4
10,B4
15,B4
20,B4
25,B4
30,B4
35,B4
40,B4
45,B4
50,B4
51,B1
52,B1
53,B1
54,B1
55,B1
56,B1
57,B1
58,B1
59,B1
60,B2
61,B2
62,B2
63,B2
64,B2
65,B2
66,B2
67,B2
68,B2
69,B2
70,B2
71,B2
72,B3
73,B3
74,B3
75,B3
76,B3
78,B3
79,B3
80,B3
81,B3
82,B3
83,B4
84,B1
85,B1
86,B1
87,B1
88,B1
89,B1
90,B1
91,B1
92,B1
93,B2
94,B2
95,B2
96,B2
97,B2
98,B2
99,B2
100,B2
